Lat	Long	Soil_Type	Soil_Class	SoilDepth	HzSimb	HzDeIn	HzDeFn	HzVal	Silt	Clay	Sand	pH_KCL	C	C_N	BD
-9.417	-65.983	LVE al. mod. muito arg.	LEa	200	B1	30	70	3	9	71	20	4	0.34	6.8	1.4
-9.417	-65.983	LVE al. mod. muito arg.	LEa	200	A1	0	10	1	12	60	28	3.6	1.31	8.1875	1.4
-9.417	-65.983	LVE al. mod. muito arg.	LEa	200	B22	110	170	5	9	72	19	4.4	0.18	9	1.4
-9.417	-65.983	LVE al. mod. muito arg.	LEa	200	A3	10	30	2	12	67	21	3.5	1.09	10.9	1.4
-9.417	-65.983	LVE al. mod. muito arg.	LEa	200	B21	70	110	4	9	72	19	4.3	0.39	13	1.4
-9.667	-65.883	PVAal. at. baixa arg.	PVa	200	B22	80	130	5	9	72	19	3.5	0.41	5.857142857	1.4
-9.667	-65.883	PVAal. at. baixa arg.	PVa	200	B21	40	80	4	49	47	4	3.5	0.47	5.875	1.4
-9.667	-65.883	PVAal. at. baixa arg.	PVa	200	B1	20	40	3	49	48	3	3.5	0.64	6.4	1.4
-9.667	-65.883	PVAal. at. baixa arg.	PVa	200	A3	8	20	2	65	31	4	4	1.92	9.142857143	1.4
-9.667	-65.883	PVAal. at. baixa arg.	PVa	200	A1	0	8	1	68	28	4	3.5	6.98	15.86363636	1.4
-8.467	-65.883	AQal.	AQa	200	C3	130	170	5	14	10	76	3.8	0.16	8	1.4
-8.467	-65.883	AQal.	AQa	200	C1	30	70	3	15	12	73	3.8	0.32	10.66666667	1.4
-8.467	-65.883	AQal.	AQa	200	A3	10	30	2	16	10	74	3.4	0.45	11.25	1.4
-8.467	-65.883	AQal.	AQa	200	A1	0	10	1	9	8	83	3.5	0.71	11.83333333	1.4
-8.467	-65.883	AQal.	AQa	200	C2	70	130	4	14	12	74	3.7	0.25	12.5	1.4
-9.100	-65.783	PVAal. at. baixa med.	PVa	200	B22	110	170	4	15	19	66	4	0.18	9	1.4
-9.100	-65.783	PVAal. at. baixa med.	PVa	200	A3	10	20	2	23	14	63	3.5	0.8	13.33333333	1.4
-9.100	-65.783	PVAal. at. baixa med.	PVa	200	B21	20	110	3	16	18	66	4	0.43	14.33333333	1.4
-9.100	-65.783	PVAal. at. baixa med.	PVa	200	A1	0	10	1	21	11	68	3.5	1.09	15.57142857	1.4
-8.133	-65.783	PVAal. at. baixa med.	PVa	200	B21	25	70	3	36	18	46	3.7	0.41	8.2	1.4
