Lat	Long	SoilClass		SoilDepth	HzSimb	HzDeIn	HzDeFn	HzVal	Silt	Clay	Sand	pH_KCL	C	C_N	BD
-17.5	-54.7333	Areia_quartzosa_álica	Arenosol	150	A1	0	20	1	4	10	86	4.1	0.87	9.666666667	1.5
-17.5	-54.7333	Areia_quartzosa_álica	Arenosol	150	A2	21	49	2	4	10	86	4.1	0.435	9.666666667	1.5
-17.5	-54.7333	Areia_quartzosa_álica	Arenosol	150	C1	50	200	3	3	11	86	4.3	0.16	2.666666667	1.6
-17.3167	-53.2333	Areia_quartzosa_álica	Arenosol	157	A	0	17	1	6	9	85	4.1	0.67	11.16666667	1.5
-17.3167	-53.2333	Areia_quartzosa_álica	Arenosol	157	A2	18	44	2	6	9	85	4.1	0.335	11.16666667	1.5
-17.3167	-53.2333	Areia_quartzosa_álica	Arenosol	157	C1	45	200	3	4	8	88	4.3	0.1	3.333333333	1.6
-17.1	-54.8	Areia_quartzosa_álica	Arenosol	120	A	0	30	1	2	1	97	4.3	0.14	3.5	1.5
-17.1	-54.8	Areia_quartzosa_álica	Arenosol	120	A2	31	59	2	2	1	97	4.3	0.07	3.5	1.5
-17.1	-54.8	Areia_quartzosa_álica	Arenosol	120	C	60	200	3	2	4	94	4.3	0.11	3.666666667	1.6
-17.1	-54.4667	Areia_quartzosa_álica	Arenosol	120	A	0	20	1	5	7	88	4	0.42	6	1.5
-17.1	-54.4667	Areia_quartzosa_álica	Arenosol	120	A2	21	39	2	5	7	88	4	0.21	6	1.5
-17.1	-54.4667	Areia_quartzosa_álica	Arenosol	120	C	40	200	3	4	8	88	4.1	0.24	4.8	1.6
-16.95	-55.15	Areia_quartzosa_álica	Arenosol	160	A	0	30	1	7	6	87	4.2	0.4	6.666666667	1.5
-16.95	-55.15	Areia_quartzosa_álica	Arenosol	160	A2	31	44	2	7	6	87	4.2	0.2	6.666666667	1.5
-16.95	-55.15	Areia_quartzosa_álica	Arenosol	160	B1	45	139	3	10	11	79	4.1	0.08	2	1.6
-16.95	-55.15	Areia_quartzosa_álica	Arenosol	160	B2	140	200	4	10	11	79	4.1	0.08	2	1.6
-16.7	-50.6333	Areia_quartzosa_álica	Arenosol	160	A	0	30	1	5	6	89	4.2	0.53	10.6	1.5
-16.7	-50.6333	Areia_quartzosa_álica	Arenosol	160	A2	31	49	2	5	6	89	4.2	0.265	10.6	1.5
-16.7	-50.6333	Areia_quartzosa_álica	Arenosol	160	C2	50	200	3	5	8	87	4.4	0.18	6	1.6
-15.8167	-55.15	Areia_quartzosa_álica	Arenosol	300	A1	0	13	1	4	6	90	4.1	0.45	15	1.5
-15.8167	-55.15	Areia_quartzosa_álica	Arenosol	300	A2	14	56	2	4	6	90	4.1	0.225	15	1.5
-15.8167	-55.15	Areia_quartzosa_álica	Arenosol	300	C2	57	200	3	3	11	86	4.7	0.16	16	1.6
-15.8	-54.5167	Areia_quartzosa_álica	Arenosol	160	A1	0	5	1	3	5	92	3.6	0.9	12	1.5
-15.8	-54.5167	Areia_quartzosa_álica	Arenosol	160	A2	6	44	2	3	5	92	3.6	0.45	12	1.5
-15.8	-54.5167	Areia_quartzosa_álica	Arenosol	160	B1	45	79	3	2	7	91	4.1	0.1	12	1.6
-15.8	-54.5167	Areia_quartzosa_álica	Arenosol	160	B2	80	200	4	2	7	91	4.1	0.1	12	1.6
-15.4833	-57.55	Areia_quartzosa_álica	Arenosol	160	A1	0	10	1	3	6	90	3.5	1.2	12	1.5
-15.4833	-57.55	Areia_quartzosa_álica	Arenosol	160	A2	11	59	2	3	6	90	3.5	0.6	12	1.5
-15.4833	-57.55	Areia_quartzosa_álica	Arenosol	160	C2	60	200	3	3	11	86	4	0.2	12	1.6
-15.15	-54.95	Areia_quartzosa_álica	Arenosol	160	A1	0	5	1	1	7	91	3.5	1	12	1.5
-15.15	-54.95	Areia_quartzosa_álica	Arenosol	160	A2	6	44	2	1	7	91	3.5	0.5	12	1.5
-15.15	-54.95	Areia_quartzosa_álica	Arenosol	160	B1	45	69	3	4	10	86	4.2	0.2	12	1.6
-15.15	-54.95	Areia_quartzosa_álica	Arenosol	160	B2	70	200	4	4	10	86	4.2	0.2	12	1.6
-14.9833	-57.4667	Areia_quartzosa_álica	Arenosol	120	A1	0	20	1	3	8	89	3.5	0.95	19	1.5
-14.9833	-57.4667	Areia_quartzosa_álica	Arenosol	120	A2	21	44	2	3	8	89	3.5	0.475	19	1.5
-14.9833	-57.4667	Areia_quartzosa_álica	Arenosol	120	B1	45	99	3	1	12	87	4	0.24	12	1.6
-14.9833	-57.4667	Areia_quartzosa_álica	Arenosol	120	B2	100	200	4	1	12	87	4	0.24	12	1.6
-14.9	-58.6167	Areia_quartzosa_álica	Arenosol	170	A1	0	15	1	8	2	90	3.8	0.6	12	1.5
-14.9	-58.6167	Areia_quartzosa_álica	Arenosol	170	A2	16	44	2	8	2	90	3.8	0.3	12	1.5
-14.9	-58.6167	Areia_quartzosa_álica	Arenosol	170	B1	45	79	3	3	5	91	4.4	0.3	12	1.6
-14.9	-58.6167	Areia_quartzosa_álica	Arenosol	170	B2	80	200	4	3	5	91	4.4	0.3	12	1.6
-14.8833	-58.45	Areia_quartzosa_álica	Arenosol	170	A1	0	15	1	16	2	82	3.7	1.2	12	1.5
-14.8833	-58.45	Areia_quartzosa_álica	Arenosol	170	A2	16	44	2	16	2	82	3.7	0.6	12	1.5
-14.8833	-58.45	Areia_quartzosa_álica	Arenosol	170	B1	45	79	3	3	4	93	4.3	0.7	12	1.6
-14.8833	-58.45	Areia_quartzosa_álica	Arenosol	170	B2	80	200	4	3	4	93	4.3	0.7	12	1.6
-14.8833	-58.1333	Areia_quartzosa_álica	Arenosol	160	A1	0	12	1	3	3	94	3.6	1.1	12	1.5
-14.8833	-58.1333	Areia_quartzosa_álica	Arenosol	160	A2	13	64	2	3	3	94	3.6	0.55	12	1.5
-14.8833	-58.1333	Areia_quartzosa_álica	Arenosol	160	C2	65	200	3	2	6	92	4.3	0.3	12	1.6
-14.6833	-59.8667	Areia_quartzosa_álica	Arenosol	150	A1	0	15	1	6	6	88	3.8	1.1	12	1.5
-14.6833	-59.8667	Areia_quartzosa_álica	Arenosol	150	A2	16	59	2	6	6	88	3.8	0.55	12	1.5
-14.6833	-59.8667	Areia_quartzosa_álica	Arenosol	150	C2	60	200	3	7	10	84	3.8	0.4	12	1.6
-14.5833	-59.1667	Areia_quartzosa_álica	Arenosol	150	A1	0	20	1	1	7	93	4.1	0.4	12	1.5
-14.5833	-59.1667	Areia_quartzosa_álica	Arenosol	150	A2	21	39	2	1	7	93	4.1	0.2	12	1.5
-14.5833	-59.1667	Areia_quartzosa_álica	Arenosol	150	C	40	200	3	4	7	89	4.1	0.4	12	1.6
-14.3167	-57.2833	Areia_quartzosa_álica	Arenosol	160	A1	0	7	1	3	5	92	4.1	0.5	8.333333333	1.5
-14.3167	-57.2833	Areia_quartzosa_álica	Arenosol	160	A2	8	59	2	3	5	92	4.1	0.25	8.333333333	1.5
-14.3167	-57.2833	Areia_quartzosa_álica	Arenosol	160	C2	60	200	3	2	10	88	4.2	0.1	5	1.6
-14.05	-56.15	Areia_quartzosa_álica	Arenosol	160	A1	0	10	1	2	3	96	4.1	0.8	11.42857143	1.5
-14.05	-56.15	Areia_quartzosa_álica	Arenosol	160	A2	11	59	2	2	3	96	4.1	0.4	11.42857143	1.5
-14.05	-56.15	Areia_quartzosa_álica	Arenosol	160	C2	60	200	3	1	5	93	4.4	0.3	15	1.6
-13.9167	-54.1667	Areia_quartzosa_álica	Arenosol	160	A1	0	15	1	4	6	91	3.6	0.7	12	1.5
-13.9167	-54.1667	Areia_quartzosa_álica	Arenosol	160	A2	16	39	2	4	6	91	3.6	0.35	12	1.5
-13.9167	-54.1667	Areia_quartzosa_álica	Arenosol	160	C1	40	200	3	3	12	86	4.1	0.2	12	1.6
-13.8167	-58.95	Areia_quartzosa_álica	Arenosol	150	A1	0	15	1	5	6	89	3.9	2.5	12	1.5
-13.8167	-58.95	Areia_quartzosa_álica	Arenosol	150	A2	16	39	2	5	6	89	3.9	1.25	12	1.5
-13.8167	-58.95	Areia_quartzosa_álica	Arenosol	150	C1	40	200	3	3	8	89	4.3	0.6	12	1.6
-13.65	-59.3	Areia_quartzosa_álica	Arenosol	160	A1	0	12	1	2	7	91	4	0.6	12	1.5
-13.65	-59.3	Areia_quartzosa_álica	Arenosol	160	A2	13	64	2	2	7	91	4	0.3	12	1.5
-13.65	-59.3	Areia_quartzosa_álica	Arenosol	160	C2	65	200	3	1	13	86	4.3	0.4	12	1.6
-13.0667	-57.3667	Areia_quartzosa_álica	Arenosol	150	A1	0	10	1	4	6	90	3.4	1.1	12	1.5
-13.0667	-57.3667	Areia_quartzosa_álica	Arenosol	150	A2	11	64	2	4	6	90	3.4	0.55	12	1.5
-13.0667	-57.3667	Areia_quartzosa_álica	Arenosol	150	C2	65	200	3	7	11	83	4	0.1	12	1.6
-12.6667	-58.9667	Areia_quartzosa_álica	Arenosol	150	A1	0	15	1	2	3	95	3.8	0.9	12	1.5
-12.6667	-58.9667	Areia_quartzosa_álica	Arenosol	150	A2	16	59	2	2	3	95	3.8	0.45	12	1.5
-12.6667	-58.9667	Areia_quartzosa_álica	Arenosol	150	C2	60	200	3	2	7	92	4.1	0.1	12	1.6
-12.35	-59.15	Areia_quartzosa_álica	Arenosol	150	A1	0	10	1	6	7	87	3.7	0.9	12	1.5
-12.35	-59.15	Areia_quartzosa_álica	Arenosol	150	A2	11	44	2	6	7	87	3.7	0.45	12	1.5
-12.35	-59.15	Areia_quartzosa_álica	Arenosol	150	B1	45	74	3	7	8	85	4.1	0.3	12	1.6
